Detector Name,Detection Time,Descriptor Name,Descriptor Time,No of matches found
FAST,0.992469ms,BRIEF,0.000882ms,102
FAST,0.966115ms,BRIEF,0.000758ms,94
FAST,1.02838ms,BRIEF,0.000993ms,98
FAST,1.03247ms,BRIEF,0.000863ms,112
FAST,1.01551ms,BRIEF,0.000974ms,107
FAST,1.02636ms,BRIEF,0.00091ms,92
FAST,1.13795ms,ORB,0.001795ms,
FAST,1.4972ms,ORB,0.00133ms,96
FAST,0.962541ms,ORB,0.000813ms,102
FAST,0.935305ms,ORB,0.001021ms,87
FAST,1.03256ms,ORB,0.00082ms,94
FAST,1.03644ms,ORB,0.000951ms,87
FAST,1.02465ms,ORB,0.000855ms,100
FAST,1.02814ms,ORB,0.001025ms,101
FAST,1.04204ms,ORB,0.001077ms,96
FAST,1.004ms,ORB,0.001327ms,99
FAST,1.21584ms,FREAK,0.001887ms,
FAST,1.07214ms,FREAK,0.001285ms,64
FAST,0.851591ms,FREAK,0.001476ms,80
FAST,1.0387ms,FREAK,0.001979ms,65
FAST,0.96152ms,FREAK,0.001265ms,79
FAST,1.03383ms,FREAK,0.001988ms,61
FAST,1.00523ms,FREAK,0.001281ms,76
FAST,0.96623ms,FREAK,0.001039ms,83
FAST,1.00118ms,FREAK,0.0018ms,77
FAST,1.0279ms,FREAK,0.000985ms,82
FAST,1.1413ms,SIFT,0.001805ms,
FAST,1.54662ms,SIFT,0.001985ms,118
FAST,0.968855ms,SIFT,0.00228ms,123
FAST,1.0157ms,SIFT,0.002718ms,110
FAST,0.97302ms,SIFT,0.002177ms,119
FAST,1.04258ms,SIFT,0.00198ms,114
FAST,1.01593ms,SIFT,0.002539ms,119
FAST,0.942399ms,SIFT,0.002863ms,123
FAST,1.03429ms,SIFT,0.00169ms,117
FAST,1.08382ms,SIFT,0.002236ms,103
,,,,
,,,,
BRISK,382.153ms,BRISK,0.002663ms,
BRISK,380.385ms,BRISK,0.003147ms,138
BRISK,386.164ms,BRISK,0.002786ms,144
BRISK,383.11ms,BRISK,0.002758ms,133
BRISK,382.418ms,BRISK,0.002951ms,144
BRISK,386.92ms,BRISK,0.002689ms,139
BRISK,386.565ms,BRISK,0.003212ms,155
BRISK,381.058ms,BRISK,0.00284ms,137
BRISK,381.478ms,BRISK,0.002958ms,150
BRISK,379.059ms,BRISK,0.003567ms,158
BRISK,380.895ms,BRIEF,0.001106ms,
BRISK,377.615ms,BRIEF,0.001177ms,138
BRISK,379.465ms,BRIEF,0.001148ms,166
BRISK,370.511ms,BRIEF,0.000974ms,129
BRISK,377.698ms,BRIEF,0.001143ms,141
BRISK,379.395ms,BRIEF,0.000877ms,148
BRISK,376.23ms,BRIEF,0.000755ms,155
BRISK,376.083ms,BRIEF,0.000906ms,158
BRISK,376.716ms,BRIEF,0.000796ms,161
BRISK,371.877ms,BRIEF,0.000748ms,148
BRISK,375.632ms,ORB,0.000969ms,
BRISK,377.641ms,ORB,0.001027ms,94
BRISK,377.274ms,ORB,0.001099ms,107
BRISK,375.626ms,ORB,0.001181ms,88
BRISK,373.36ms,ORB,0.001465ms,97
BRISK,373.689ms,ORB,0.001064ms,85
BRISK,373.131ms,ORB,0.001105ms,114
BRISK,366.113ms,ORB,0.001113ms,112
BRISK,374.179ms,ORB,0.00094ms,114
BRISK,374.101ms,ORB,0.001479ms,122
BRISK,385.621ms,FREAK,0.002842ms,
BRISK,373.027ms,FREAK,0.003ms,114
BRISK,374.578ms,FREAK,0.001179ms,121
BRISK,374.097ms,FREAK,0.002495ms,113
BRISK,368.474ms,FREAK,0.002724ms,118
BRISK,374.202ms,FREAK,0.001842ms,103
BRISK,372.453ms,FREAK,0.001713ms,129
BRISK,380.006ms,FREAK,0.002037ms,135
BRISK,373.644ms,FREAK,0.002266ms,129
BRISK,372.184ms,FREAK,0.001222ms,131
BRISK,381.536ms,SIFT,0.002529ms,
BRISK,379.534ms,SIFT,0.002233ms,182
BRISK,384.811ms,SIFT,0.002081ms,193
BRISK,383.287ms,SIFT,0.002105ms,169
BRISK,382.17ms,SIFT,0.002249ms,183
BRISK,380.842ms,SIFT,0.002863ms,171
BRISK,380.391ms,SIFT,0.002274ms,195
BRISK,382.1ms,SIFT,0.002049ms,194
BRISK,380.214ms,SIFT,0.00212ms,176
BRISK,377.107ms,SIFT,0.002428ms,183
,,,,
,,,,
ORB,7.24305ms,BRISK,0.00305ms,
ORB,7.10324ms,BRISK,0.003052ms,45
ORB,6.79802ms,BRISK,0.002958ms,53
ORB,6.18802ms,BRISK,0.002925ms,44
ORB,5.89782ms,BRISK,0.003118ms,54
ORB,5.57852ms,BRISK,0.002821ms,56
ORB,5.9614ms,BRISK,0.002782ms,62
ORB,5.80586ms,BRISK,0.009849ms,67
ORB,6.05793ms,BRISK,0.003056ms,64
ORB,6.42309ms,BRISK,0.002919ms,61
ORB,7.58291ms,BRIEF,0.001257ms,
ORB,6.78975ms,BRIEF,0.001076ms,41
ORB,6.5974ms,BRIEF,0.000977ms,33
ORB,5.82002ms,BRIEF,0.001129ms,34
ORB,5.94991ms,BRIEF,0.000937ms,45
ORB,5.70955ms,BRIEF,0.001247ms,31
ORB,5.91931ms,BRIEF,0.001217ms,49
ORB,6.2646ms,BRIEF,0.001332ms,42
ORB,6.11679ms,BRIEF,0.001006ms,39
ORB,6.83161ms,BRIEF,0.000994ms,44
ORB,7.56342ms,ORB,0.001237ms,
ORB,6.46555ms,ORB,0.001152ms,37
ORB,5.99343ms,ORB,0.001238ms,41
ORB,5.73032ms,ORB,0.001271ms,35
ORB,6.09307ms,ORB,0.00137ms,36
ORB,6.1665ms,ORB,0.001258ms,44
ORB,5.81124ms,ORB,0.001213ms,48
ORB,5.89458ms,ORB,0.00116ms,45
ORB,5.7502ms,ORB,0.000948ms,39
ORB,6.43229ms,ORB,0.001244ms,41
ORB,7.46594ms,FREAK,0.001952ms,
ORB,6.7785ms,FREAK,0.000996ms,34
ORB,6.35588ms,FREAK,0.001371ms,30
ORB,5.87372ms,FREAK,0.001456ms,25
ORB,5.73318ms,FREAK,0.002495ms,36
ORB,6.03029ms,FREAK,0.001258ms,44
ORB,5.96977ms,FREAK,0.001261ms,45
ORB,5.87142ms,FREAK,0.001272ms,43
ORB,6.05707ms,FREAK,0.00116ms,39
ORB,7.96441ms,FREAK,0.002101ms,56
ORB,7.6061ms,SIFT,0.001745ms,
ORB,5.92183ms,SIFT,0.001515ms,50
ORB,6.26125ms,SIFT,0.001633ms,57
ORB,6.11275ms,SIFT,0.001922ms,55
ORB,5.88803ms,SIFT,0.00207ms,58
ORB,6.11176ms,SIFT,0.001772ms,63
ORB,6.97327ms,SIFT,0.00124ms,68
ORB,5.79012ms,SIFT,0.001477ms,72
ORB,5.88896ms,SIFT,0.001428ms,64
ORB,5.80369ms,SIFT,0.001573ms,70
,,,,
,,,,
AKAZE,95.9686ms,BRISK,0.003012ms,
AKAZE,87.46ms,BRISK,0.003099ms,126
AKAZE,88.4669ms,BRISK,0.002854ms,112
AKAZE,100.083ms,BRISK,0.003325ms,121
AKAZE,92.3019ms,BRISK,0.003368ms,117
AKAZE,98.2615ms,BRISK,0.003394ms,114
AKAZE,93.865ms,BRISK,0.003497ms,119
AKAZE,90.4275ms,BRISK,0.003419ms,134
AKAZE,88.2782ms,BRISK,0.002807ms,140
AKAZE,94.2334ms,BRISK,0.002951ms,127
AKAZE,97.109ms,BRIEF,0.00094ms,
AKAZE,91.5378ms,BRIEF,0.000964ms,108
AKAZE,87.7947ms,BRIEF,0.001054ms,116
AKAZE,93.9032ms,BRIEF,0.00076ms,110
AKAZE,90.8027ms,BRIEF,0.000883ms,109
AKAZE,87.6128ms,BRIEF,0.001011ms,116
AKAZE,88.4163ms,BRIEF,0.00091ms,129
AKAZE,83.6833ms,BRIEF,0.000899ms,133
AKAZE,85.402ms,BRIEF,0.0009ms,135
AKAZE,90.1511ms,BRIEF,0.000858ms,131
AKAZE,93.2379ms,ORB,0.001058ms,
AKAZE,90.2467ms,ORB,0.001062ms,102
AKAZE,91.4518ms,ORB,0.001599ms,96
AKAZE,90.8058ms,ORB,0.001287ms,96
AKAZE,86.7906ms,ORB,0.001237ms,84
AKAZE,86.8295ms,ORB,0.001245ms,90
AKAZE,90.9091ms,ORB,0.000938ms,116
AKAZE,88.9991ms,ORB,0.001087ms,103
AKAZE,85.8207ms,ORB,0.000963ms,113
AKAZE,91.3643ms,ORB,0.001146ms,118
AKAZE,91.2824ms,FREAK,0.001489ms,
AKAZE,88.1171ms,FREAK,0.002013ms,103
AKAZE,94.7591ms,FREAK,0.001931ms,105
AKAZE,89.5376ms,FREAK,0.002678ms,93
AKAZE,87.6629ms,FREAK,0.002107ms,99
AKAZE,97.6012ms,FREAK,0.002118ms,97
AKAZE,87.2429ms,FREAK,0.001813ms,115
AKAZE,75.299ms,FREAK,0.002114ms,126
AKAZE,73.1196ms,FREAK,0.002595ms,118
AKAZE,77.1307ms,FREAK,0.002191ms,117
AKAZE,95.5699ms,AKAZE,0.002289ms,
AKAZE,80.6735ms,AKAZE,0.001921ms,128
AKAZE,88.8572ms,AKAZE,0.002285ms,128
AKAZE,84.7296ms,AKAZE,0.00264ms,125
AKAZE,82.4402ms,AKAZE,0.002367ms,117
AKAZE,90.5606ms,AKAZE,0.002723ms,121
AKAZE,92.2341ms,AKAZE,0.002473ms,132
AKAZE,89.1299ms,AKAZE,0.002471ms,137
AKAZE,84.3356ms,AKAZE,0.002385ms,140
AKAZE,89.4706ms,AKAZE,0.002668ms,144
AKAZE,92.5496ms,SIFT,0.00179ms,
AKAZE,78.5138ms,SIFT,0.002689ms,134
AKAZE,89.583ms,SIFT,0.002931ms,134
AKAZE,82.4578ms,SIFT,0.002347ms,130
AKAZE,83.9059ms,SIFT,0.002542ms,136
AKAZE,90.5279ms,SIFT,0.002372ms,137
AKAZE,85.2737ms,SIFT,0.001779ms,147
AKAZE,90.838ms,SIFT,0.00172ms,147
AKAZE,84.8864ms,SIFT,0.002587ms,154
AKAZE,87.3397ms,SIFT,0.002472ms,151
,,,,
,,,,
SIFT,140.948ms,BRISK,0.002899ms,
SIFT,139.121ms,BRISK,0.002746ms,57
SIFT,125.172ms,BRISK,0.00288ms,63
SIFT,107.768ms,BRISK,0.002273ms,58
SIFT,103.093ms,BRISK,0.001874ms,61
SIFT,100.811ms,BRISK,0.002164ms,55
SIFT,104.434ms,BRISK,0.002446ms,52
SIFT,109.93ms,BRISK,0.003018ms,54
SIFT,104.366ms,BRISK,0.002273ms,63
SIFT,101.235ms,BRISK,0.002325ms,73
SIFT,142.247ms,BRIEF,0.001386ms,
SIFT,133.209ms,BRIEF,0.001454ms,63
SIFT,139.323ms,BRIEF,0.001319ms,72
SIFT,133.727ms,BRIEF,0.001051ms,64
SIFT,136.068ms,BRIEF,0.001273ms,66
SIFT,131.793ms,BRIEF,0.001034ms,52
SIFT,137.102ms,BRIEF,0.000954ms,57
SIFT,131.721ms,BRIEF,0.000923ms,72
SIFT,139.992ms,BRIEF,0.001265ms,67
SIFT,126.917ms,BRIEF,0.001151ms,84
SIFT,142.853ms,FREAK,0.00253ms,
SIFT,140.803ms,FREAK,0.001381ms,59
SIFT,130.525ms,FREAK,0.001747ms,63
SIFT,129.848ms,FREAK,0.001618ms,54
SIFT,140.335ms,FREAK,0.002236ms,64
SIFT,134.342ms,FREAK,0.001459ms,51
SIFT,128.298ms,FREAK,0.001277ms,50
SIFT,132.657ms,FREAK,0.00174ms,47
SIFT,128.574ms,FREAK,0.001654ms,53
SIFT,133.394ms,FREAK,0.001635ms,65
SIFT,135.874ms,SIFT,0.00275ms,
SIFT,100.55ms,SIFT,0.002657ms,82
SIFT,118.808ms,SIFT,0.001956ms,81
SIFT,103.085ms,SIFT,0.003191ms,85
SIFT,96.6564ms,SIFT,0.002499ms,93
SIFT,101.53ms,SIFT,0.002675ms,90
SIFT,101.667ms,SIFT,0.002193ms,81
SIFT,104.39ms,SIFT,0.002351ms,82
SIFT,96.9841ms,SIFT,0.002387ms,102
SIFT,96.1841ms,SIFT,0.002907ms,104
